,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
138,UgxIFlWVTL6hLw_BA8h4AaABAg,you get close ybs friend Goodluck journey make far can not wait ever see one video,1 month ago,@marsaquafisher8645,UCrv98TJ178GTubAFN-z_CAQ,0,https://yt3.ggpht.com/ytc/AOPolaRv0xTx9glLKnBSREbtUwbc2y7CPmNptcFqSTIU=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.352194
139,UgyLIrLjrXy6SVb26PR4AaABAg,tell kit get hand bloody crab measure hahaha watch awkward measure little mat kill,1 month ago,@briandantana8470,UCOEetnfm7eNDNz-wnKGLB7Q,1,https://yt3.ggpht.com/ytc/AOPolaR0UAMJgd2knfLhq2F1raOEAMurlSHwF18sSA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.353194
140,Ugwld_uG0gz3q4cejFd4AaABAg,well surprise vid crab huge hope make back time firework happy 4th July,1 month ago,@davescheer5038,UCoeYbahDkUZk-nFL9wEHEZw,0,https://yt3.ggpht.com/ytc/AOPolaRy90YjX7nGEbj-RBiapbzajUDbcZzS4vNr-A=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.356197
141,UgxbJwGkQdC6ePSv9g14AaABAg,in Hawaii call Samoan crab,1 month ago,@chaka3084,UCkyuVWi0Sn_kAZPNMBVB3Lw,0,https://yt3.ggpht.com/ytc/AOPolaTr7heolrdUEDFwkc0B3AeSywy1NJAlBukxrJr51Q=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.358239
142,Ugzt9EpwSXWvZU0dUMF4AaABAg,well do guy high praise come beautiful Jocelyn good crab ever,1 month ago,@ravenfeader,UC4KTN-lHHawiGqbkptkQNtg,0,https://yt3.ggpht.com/ytc/AOPolaToPxEZBjxBY9Ong64mTdkYaJCRRj_5yAuB2Q=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.360194
143,UgwLNMIM_fI3Q3JfHxt4AaABAg,that country scene ws total chaos three end I love,3 weeks ago,@derekmenekn6371,UCSi4GBQUN5PLzly2nWoWm3A,0,https://yt3.ggpht.com/ytc/AOPolaRk4DIdPbsATTYGDS9arBVJ3di-0jAFyhrZAg=s176-c-k-c0x00ffffff-no-rj,False,False,1690497640.362212
144,UgyQ7Nz7GqLvEsn-BUR4AaABAg,Most people will not get zip tie part big problem people pullingsteale pot crab unaustralian ask,1 month ago,@brisvegasvip,UCRNFWQB9EpUwR8F_V21nR8w,2,https://yt3.ggpht.com/ytc/AOPolaTzmNvJF16eEMzlArZ3nBhr5KO-gPqXYlDRlQ=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.365213
145,UgyIoG9raXBn01-LDCN4AaABAg,we eat crunch noodle struggle meal now eat they re good,1 month ago,@lexhorne8203,UCYOGYs-CYFvSsFavCL98sQA,0,https://yt3.ggpht.com/ytc/AOPolaQQaPrTvIQdl11J7ZBr1szVQs6bmOrkicRQNBjBOg=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.367194
146,UgyijFKS3aymnrAeBAx4AaABAg,I m curious why law keep claw get remove process get crab pot,1 month ago,@t_topz2338,UC6vayJEeMPiIz1WYYVwywaQ,0,https://yt3.ggpht.com/ytc/AOPolaTVgGZ5-R0TVvRp7dG4HJAEOAb694nicZPN-g=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.369194
147,UgwEcALjosuBeOYhnSZ4AaABAg,look great,1 month ago,@Hinesfarm,UC0ikv5vUel9BI5Lulz4fJXw,1,https://yt3.ggpht.com/4t9W8uuXHIXOfhqejhyRzFJFK-YHOt9J2wvx11W9agEIFLsLN6AjHxkxW2bJniY1h9quQjK5=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.698153
148,UgxXk5aTgo1-PtSFN4x4AaABAg,the Collab AWESOME the FOOD be GREAT do oh yeah,1 month ago,@akknight1966,UCvcI9CzoL6VQMjkQlOKN9cg,0,https://yt3.ggpht.com/KP13hl5Mg5PtIpdaYYO7wktcOtdSr1BSwfr0Q3_B-v9jt6RjuTWc0P658wKzjO8tF2UcKmIF=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.700077
149,UgxjPVUuFmhb2r1XxGx4AaABAg,she hard work woman internet ever see deserve big claw,1 month ago,@wimtheeuwen7315,UCf9dtVR2pTsaDnBGrIt0nUQ,0,https://yt3.ggpht.com/ytc/AOPolaQjvbG46e7um80wmx5ubV88jNZV77LZx3kIfQ=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.703281
150,UgzCktMksDlRSVElrw14AaABAg,I love you taku never stop be AWESOME,1 month ago,@elizabethromrell3108,UCQz4zmxXgFPV8RPR5IGOCAw,0,https://yt3.ggpht.com/HsLe7KhteDIavXHTvPWY_HNY1Y9Vn_SBudUPQ1OCL3a3qOCNweUooZJeNF06Dm1DdBV90aRQ=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.70627
151,UgzuNxBoCZJJPgI5uTh4AaABAg,my favourite crab unfortunately Perth buy mega expensive,1 month ago,@ThePilbaraPrince,UCmDh23PL3YKNdYUGpD4pNlQ,0,https://yt3.ggpht.com/ytc/AOPolaRr1UmBe-sAJcnljuuz2bt6soGZohvUQrzHg7X--Q=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.708269
152,UgzthEzZHr1eU1wE9eJ4AaABAg,great place catch muddie I live half hour,1 month ago,@andrewburton9200,UCifduQOIqiupbUtF07Bm3Sw,0,https://yt3.ggpht.com/ytc/AOPolaQSbhwFKHEKTDkF7aMpU-Vx-F9nxK_7iX7VLQ=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.711262
